sun_x,sun_y,sun_z
0.0,0.0,0.0
1.8150114012569866e-10,-7.941690955612752e-10,-4.532425230043104e-12
7.286047450596183e-10,-3.1718416417451273e-09,-1.837750357506636e-11
1.643744111122349e-09,-7.128134778242131e-09,-4.176766115582325e-11
2.929188225977529e-09,-1.2658126621023314e-08,-7.492060197381009e-11
4.587044719085499e-09,-1.975686466406481e-08,-1.1803993549242898e-10
6.619263142644169e-09,-2.8419373526196515e-08,-1.713157770658191e-10
9.027638552067452e-09,-3.864066207533162e-08,-2.3492532117497524e-10
1.1813815362636458e-08,-5.041572995489547e-08,-3.090333875223204e-10
1.4979291464936356e-08,-6.373957352968133e-08,-3.937929399676418e-10
1.8525422586249675e-08,-7.860719126062709e-08,-4.893455780782068e-10
2.2453426888347803e-08,-9.501358851010638e-08,-5.958220007242221e-10
2.6764389794185545e-08,-1.1295378177121571e-07,-7.133424406810894e-10
3.145926903688673e-08,-1.3242280230615097e-07,-8.420170685994836e-10
3.6538899924084614e-08,-1.5341569917003077e-07,-9.819463639648111e-10
4.200400080906845e-08,-1.7592754158736424e-07,-1.1332214497752463e-09
4.7855178757141494e-08,-1.9995342063870218e-07,-1.2959243866031738e-09
5.409293539090794e-08,-2.2548845020479195e-07,-1.4701284204440326e-09
6.071767289158713e-08,-2.525277671047388e-07,-1.655898177269618e-09
6.772970012453115e-08,-2.810665303532485e-07,-1.8532897954552073e-09
7.512923884542134e-08,-3.1109991945005364e-07,-2.0623509852021854e-09
8.291642992855524e-08,-3.4262313160222275e-07,-2.28312100168726e-09
9.109133953949223e-08,-3.756313777674934e-07,-2.515630515891122e-09
9.965396515025129e-08,-4.10119877394458e-07,-2.759901363849501e-09
1.086042412652465e-07,-4.460838517240358e-07,-3.0159461513898344e-09
1.1794204468905794e-07,-4.835185155071484e-07,-3.283767687241501e-09
1.2766719912169906e-07,-5.224190669872926e-07,-3.563358212734951e-09
1.3777947881190172e-07,-5.62780675995734e-07,-3.854698391172284e-09
1.482786109327681e-07,-6.04598470014058e-07,-4.157756014458184e-09
1.591642762657701e-07,-6.478675180774362e-07,-4.472484378917563e-09
1.7043610768779168e-07,-6.925828124270434e-07,-4.798820276721956e-09
1.8209368585181655e-07,-7.387392478777668e-07,-5.136681544517672e-09
1.9413653133649359e-07,-7.863315989554961e-07,-5.485964107471416e-09
2.0656409241694753e-07,-8.353544949862723e-07,-5.8465384561411554e-09
2.1937572748599247e-07,-8.858023934983846e-07,-6.218245496891433e-09
2.325706810432974e-07,-9.376695525399806e-07,-6.6008917260703275e-09
2.461480520885006e-07,-9.90950002830548e-07,-6.994243696491463e-09
2.601067537295341e-07,-1.0456375210638485e-06,-7.398021775120757e-09
2.7444546288614123e-07,-1.1017256061656063e-06,-7.811893236865183e-09
2.8916255917785166e-07,-1.1592074608732092e-06,-8.235464804644976e-09
3.0425605249170265e-07,-1.21807598162009e-06,-8.668274833466909e-09
3.1972349938796284e-07,-1.2783237603205227e-06,-9.109785447132883e-09
3.355619094758926e-07,-1.3399431021718945e-06,-9.559375068148041e-09
3.517676442061437e-07,-1.4029260638902775e-06,-1.0016331926399211e-08
3.6833631216295653e-07,-1.4672645167009366e-06,-1.0479849274608561e-08
3.8526266680022843e-07,-1.5329502377238665e-06,-1.0949023153585677e-08
4.025405144463786e-07,-1.5999750319425972e-06,-1.1422853604205153e-08
4.201626419795065e-07,-1.6683308846092195e-06,-1.1900250176834735e-08
4.381207744218439e-07,-1.7380101407515159e-06,-1.2380042406255609e-08
4.5640557236325577e-07,-1.8090057046588295e-06,-1.286099557935784e-08
4.7500667722709587e-07,-1.8813112483370815e-06,-1.3341831631360818e-08
4.93912808807764e-07,-1.95492141466507e-06,-1.3821254411286099e-08
5.131119144837178e-07,-2.029831999164094e-06,-1.4297977947656283e-08
5.325913637154308e-07,-2.106040094585638e-06,-1.4770755837775746e-08
5.52338175884111e-07,-2.1835441852229933e-06,-1.523840959520016e-08
5.72339265321318e-07,-2.2623441827111522e-06,-1.5699853801201445e-08
5.925816854096437e-07,-2.3424414012970985e-06,-1.6154116233397213e-08
6.130528542918189e-07,-2.4238384769878113e-06,-1.6600351730029718e-08
